"Entity Synoynym"	"Entity Syonym Path"	"Entity ID"	"Entity Path"	"IsLink"	"IsLinked"	"Entity Sequence"	
"Occurrence"		"24"		"0"	"0"	"0"	
"Aerodrome_General"	"Occurrence"	"1"	"24"	"0"	"0"	"0"	
"Narrative"	"Occurrence/Aerodrome_General"	"22"	"24/1"	"0"	"0"	"0"	
"Runway"	"Occurrence/Aerodrome_General"	"31"	"24/1"	"0"	"1"	"1"	
"Aircraft"	"Occurrence/Aerodrome_General/Runway"	"4"	"24/1/31"	"1"	"1"	"0"	
"Events"	"Occurrence/Aerodrome_General/Runway"	"14"	"24/1/31"	"1"	"1"	"1"	
"Vehicle"	"Occurrence/Aerodrome_General"	"48"	"24/1"	"0"	"1"	"2"	
"Events"	"Occurrence/Aerodrome_General"	"14"	"24/1"	"1"	"1"	"0"	
"Aerodrome_Weather_Reports"	"Occurrence"	"2"	"24"	"0"	"0"	"1"	
"Air_Space"	"Occurrence"	"3"	"24"	"0"	"1"	"2"	
"Narrative"	"Occurrence/Air_Space"	"22"	"24/3"	"0"	"0"	"0"	
"Aircraft"	"Occurrence/Air_Space"	"4"	"24/3"	"1"	"1"	"0"	
"Events"	"Occurrence/Air_Space"	"14"	"24/3"	"1"	"1"	"1"	
"Aircraft"	"Occurrence"	"4"	"24"	"0"	"1"	"3"	
"Engine"	"Occurrence/Aircraft"	"13"	"24/4"	"0"	"0"	"0"	
"Flight_Crew_Member"	"Occurrence/Aircraft"	"17"	"24/4"	"0"	"0"	"1"	
"Flight_Crew_Licenses"	"Occurrence/Aircraft/Flight_Crew_Member"	"16"	"24/4/17"	"0"	"0"	"0"	
"Incapacitation"	"Occurrence/Aircraft"	"20"	"24/4"	"0"	"0"	"2"	
"Narrative"	"Occurrence/Aircraft"	"22"	"24/4"	"0"	"0"	"3"	
"Part_Information"	"Occurrence/Aircraft"	"26"	"24/4"	"0"	"0"	"4"	
"Propeller"	"Occurrence/Aircraft"	"29"	"24/4"	"0"	"0"	"5"	
"Air_Space"	"Occurrence/Aircraft"	"3"	"24/4"	"1"	"1"	"0"	
"Events"	"Occurrence/Aircraft"	"14"	"24/4"	"1"	"1"	"1"	
"Runway"	"Occurrence/Aircraft"	"31"	"24/4"	"1"	"1"	"2"	
"Sector"	"Occurrence/Aircraft"	"33"	"24/4"	"1"	"1"	"3"	
"Dangerous_Goods"	"Occurrence/Aircraft"	"43"	"24/4"	"1"	"1"	"4"	
"Air_Navigation_Service"	"Occurrence"	"10"	"24"	"0"	"0"	"4"	
"Narrative"	"Occurrence/Air_Navigation_Service"	"22"	"24/10"	"0"	"0"	"0"	
"Sector"	"Occurrence/Air_Navigation_Service"	"33"	"24/10"	"0"	"1"	"1"	
"ATM_Staff"	"Occurrence/Air_Navigation_Service/Sector"	"9"	"24/10/33"	"0"	"0"	"0"	
"Aircraft"	"Occurrence/Air_Navigation_Service/Sector"	"4"	"24/10/33"	"1"	"1"	"0"	
"Events"	"Occurrence/Air_Navigation_Service"	"14"	"24/10"	"1"	"1"	"0"	
"Events"	"Occurrence"	"14"	"24"	"0"	"1"	"5"	
"Narrative"	"Occurrence"	"22"	"24"	"0"	"0"	"6"	
"Precipitation_And_Other_Weather_Phenomena"	"Occurrence"	"28"	"24"	"0"	"0"	"7"	
"Separation"	"Occurrence"	"34"	"24"	"0"	"0"	"8"	
"Separation_Aircraft"	"Occurrence/Separation"	"35"	"24/34"	"0"	"0"	"0"	
"Separation_Traffic_Info_Type_Quality"	"Occurrence/Separation/Separation_Aircraft"	"36"	"24/34/35"	"0"	"0"	"0"	
"Aircraft"	"Occurrence/Separation/Separation_Aircraft"	"4"	"24/34/35"	"1"	"1"	"0"	
"Dangerous_Goods"	"Occurrence"	"43"	"24"	"0"	"1"	"9"	
"Aircraft"	"Occurrence/Dangerous_Goods"	"4"	"24/43"	"1"	"1"	"0"	
"Runway_Incursion"	"Occurrence"	"47"	"24"	"0"	"0"	"10"	
"Aircraft"	"Occurrence/Runway_Incursion"	"4"	"24/47"	"1"	"1"	"0"	
"Runway"	"Occurrence/Runway_Incursion"	"31"	"24/47"	"1"	"1"	"1"	
"Vehicle"	"Occurrence/Runway_Incursion"	"48"	"24/47"	"1"	"1"	"2"	
"Reporting_History"	"Occurrence"	"53"	"24"	"0"	"0"	"11"	
"Risk_Assessment"	"Occurrence"	"59"	"24"	"0"	"0"	"12"	
"Ground_Handling"	"Occurrence"	"60"	"24"	"0"	"0"	"13"	
"Narrative"	"Occurrence/Ground_Handling"	"22"	"24/60"	"0"	"0"	"0"	
"Events"	"Occurrence/Ground_Handling"	"14"	"24/60"	"1"	"1"	"0"	
"Vehicle"	"Occurrence/Ground_Handling"	"48"	"24/60"	"1"	"1"	"1"	
