"ID"	"Expanded Description"	
"1"	"Afghanistan"	
"1001"	"Afghanistan - AIB"	
"2001"	"Afghanistan - CAA"	
"5001"	"Afghanistan - Other"	
"100133"	"Afghanistan - Other - Production organisation"	
"100341"	"Afghanistan - Other - Flight Crew Training organisation"	
"100549"	"Afghanistan - Other - Flight Information Service Provider"	
"100757"	"Afghanistan - Other - Continuous airworthiness monitoring organisation"	
"100965"	"Afghanistan - Other - Ground handling organisation"	
"101173"	"Afghanistan - Other - Individuals"	
"7001"	"Afghanistan - Other - Design organisation"	
"10001"	"Afghanistan - Other - Aerodrome operator"	
"11001"	"Afghanistan - Other - ATM equipment maintenance organisation"	
"9001"	"Afghanistan - Other - Air Navigation Service Provider"	
"12001"	"Afghanistan - Other - Apron Management Service Provider"	
"8001"	"Afghanistan - Other - Maintenance organisation"	
"6001"	"Afghanistan - Other - Aircraft operator"	
"2"	"Albania"	
"1002"	"Albania - AIB"	
"2002"	"Albania - CAA"	
"5002"	"Albania - Other"	
"100134"	"Albania - Other - Production organisation"	
"100342"	"Albania - Other - Flight Crew Training organisation"	
"100550"	"Albania - Other - Flight Information Service Provider"	
"100758"	"Albania - Other - Continuous airworthiness monitoring organisation"	
"100966"	"Albania - Other - Ground handling organisation"	
"101174"	"Albania - Other - Individuals"	
"7002"	"Albania - Other - Design organisation"	
"10002"	"Albania - Other - Aerodrome operator"	
"11002"	"Albania - Other - ATM equipment maintenance organisation"	
"9002"	"Albania - Other - Air Navigation Service Provider"	
"12002"	"Albania - Other - Apron Management Service Provider"	
"8002"	"Albania - Other - Maintenance organisation"	
"6002"	"Albania - Other - Aircraft operator"	
"3"	"Algeria"	
"1003"	"Algeria - AIB"	
"2003"	"Algeria - CAA"	
"5003"	"Algeria - Other"	
"100135"	"Algeria - Other - Production organisation"	
"100343"	"Algeria - Other - Flight Crew Training organisation"	
"100551"	"Algeria - Other - Flight Information Service Provider"	
"100759"	"Algeria - Other - Continuous airworthiness monitoring organisation"	
"100967"	"Algeria - Other - Ground handling organisation"	
"101175"	"Algeria - Other - Individuals"	
"7003"	"Algeria - Other - Design organisation"	
"10003"	"Algeria - Other - Aerodrome operator"	
"11003"	"Algeria - Other - ATM equipment maintenance organisation"	
"9003"	"Algeria - Other - Air Navigation Service Provider"	
"12003"	"Algeria - Other - Apron Management Service Provider"	
"8003"	"Algeria - Other - Maintenance organisation"	
"6003"	"Algeria - Other - Aircraft operator"	
"4"	"Andorra"	
"1004"	"Andorra - AIB"	
"2004"	"Andorra - CAA"	
"5004"	"Andorra - Other"	
"100136"	"Andorra - Other - Production organisation"	
"100344"	"Andorra - Other - Flight Crew Training organisation"	
"100552"	"Andorra - Other - Flight Information Service Provider"	
"100760"	"Andorra - Other - Continuous airworthiness monitoring organisation"	
"100968"	"Andorra - Other - Ground handling organisation"	
"101176"	"Andorra - Other - Individuals"	
"7004"	"Andorra - Other - Design organisation"	
"10004"	"Andorra - Other - Aerodrome operator"	
"11004"	"Andorra - Other - ATM equipment maintenance organisation"	
