Value Synonym	Value ID	
"1000"	"1000"	
"52"	"52"	
"2000"	"2000"	
"55"	"55"	
"56"	"56"	
"57"	"57"	
"58"	"58"	
"3000"	"3000"	
"59"	"59"	
"4000"	"4000"	
"60"	"60"	
"6000"	"6000"	
"64"	"64"	
"65"	"65"	
"10000"	"10000"	
"69"	"69"	
"74"	"74"	
"70"	"70"	
"75"	"75"	
"71"	"71"	
"76"	"76"	
"72"	"72"	
"77"	"77"	
"73"	"73"	
"78"	"78"	
"11000"	"11000"	
"19"	"19"	
"14000"	"14000"	
"79"	"79"	
"80"	"80"	
"15000"	"15000"	
"81"	"81"	
"16000"	"16000"	
"18"	"18"	
"17000"	"17000"	
"82"	"82"	
"18000"	"18000"	
"83"	"83"	
"84"	"84"	
"19000"	"19000"	
"85"	"85"	
"21000"	"21000"	
"25"	"25"	
"22000"	"22000"	
"86"	"86"	
"87"	"87"	
"25000"	"25000"	
"88"	"88"	
"27000"	"27000"	
"89"	"89"	
"28000"	"28000"	
"6"	"6"	
"51"	"51"	
"29000"	"29000"	
"90"	"90"	
"30000"	"30000"	
"16"	"16"	
"17"	"17"	
"91"	"91"	
"92"	"92"	
"93"	"93"	
"33000"	"33000"	
"5"	"5"	
"35000"	"35000"	
"94"	"94"	
"36000"	"36000"	
"95"	"95"	
"38000"	"38000"	
"96"	"96"	
"97"	"97"	
"98"	"98"	
"99"	"99"	
"100"	"100"	
"101"	"101"	
"102"	"102"	
"103"	"103"	
"39000"	"39000"	
"106"	"106"	
"107"	"107"	
"194000"	"194000"	
"412"	"412"	
"413"	"413"	
"41000"	"41000"	
"108"	"108"	
"109"	"109"	
"110"	"110"	
"111"	"111"	
"112"	"112"	
"42000"	"42000"	
"113"	"113"	
"114"	"114"	
"115"	"115"	
"116"	"116"	
"117"	"117"	
"118"	"118"	
"27"	"27"	
"119"	"119"	
"120"	"120"	
"43000"	"43000"	
"123"	"123"	
"124"	"124"	
"45000"	"45000"	
"125"	"125"	
"126"	"126"	
"223000"	"223000"	
"433"	"433"	
"434"	"434"	
